Plot,Date,Count,Type
Plot #15 ,4/3/1990,0,H-(DELS)
Plot #15 ,4/4/1990,0,H-(DELS)
Plot #15 ,4/5/1990,0,H-(DELS)
Plot #15 ,4/6/1990,0,H-(DELS)
Plot #15 ,4/7/1990,1,H-(DELS)
Plot #15 ,4/8/1990,2,H-(DELS)
Plot #15 ,4/9/1990,0,H-(DELS)
Plot #15 ,4/10/1990,1,H-(DELS)
Plot #15 ,4/11/1990,0,H-(DELS)
Plot #15 ,4/12/1990,0,H-(DELS)
Plot #15 ,4/13/1990,1,H-(DELS)
Plot #15 ,4/14/1990,0,H-(DELS)
Plot #15 ,4/15/1990,6,H-(DELS)
Plot #15 ,4/16/1990,0,H-(DELS)
Plot #15 ,4/17/1990,2,H-(DELS)
Plot #15 ,4/18/1990,0,H-(DELS)
Plot #15 ,4/19/1990,0,H-(DELS)
Plot #15 ,4/20/1990,1,H-(DELS)
Plot #15 ,4/21/1990,0,H-(DELS)
Plot #15 ,4/22/1990,0,H-(DELS)
Plot #15 ,4/23/1990,0,H-(DELS)
Plot #15 ,4/24/1990,0,H-(DELS)
Plot #15 ,4/25/1990,1,H-(DELS)
Plot #15 ,4/26/1990,0,H-(DELS)
Plot #15 ,4/27/1990,1,H-(DELS)
Plot #15 ,4/28/1990,1,H-(DELS)
Plot #15 ,4/29/1990,3,H-(DELS)
Plot #15 ,4/30/1990,0,H-(DELS)
Plot #15 ,5/1/1990,2,H-(DELS)
Plot #15 ,5/2/1990,0,H-(DELS)
Plot #15 ,5/3/1990,0,H-(DELS)
Plot #15 ,5/4/1990,0,H-(DELS)
Plot #15 ,5/5/1990,1,H-(DELS)
Plot #15 ,5/6/1990,0,H-(DELS)
Plot #15 ,5/7/1990,2,H-(DELS)
Plot #15 ,5/8/1990,0,H-(DELS)
Plot #15 ,5/9/1990,0,H-(DELS)
Plot #15 ,5/10/1990,2,H-(DELS)
Plot #15 ,5/11/1990,0,H-(DELS)
Plot #15 ,5/12/1990,0,H-(DELS)
Plot #15 ,5/13/1990,0,H-(DELS)
Plot #15 ,5/14/1990,3,H-(DELS)
Plot #15 ,5/15/1990,2,H-(DELS)
Plot #15 ,5/16/1990,0,H-(DELS)
Plot #15 ,5/17/1990,0,H-(DELS)
Plot #15 ,5/18/1990,0,H-(DELS)
Plot #15 ,5/19/1990,0,H-(DELS)
Plot #15 ,5/20/1990,0,H-(DELS)
Plot #15 ,5/21/1990,1,H-(DELS)
Plot #15 ,5/22/1990,2,H-(DELS)
Plot #15 ,5/23/1990,0,H-(DELS)
Plot #15 ,5/24/1990,0,H-(DELS)
Plot #15 ,5/25/1990,0,H-(DELS)
Plot #15 ,5/26/1990,0,H-(DELS)
Plot #15 ,5/27/1990,0,H-(DELS)
Plot #15 ,5/28/1990,0,H-(DELS)
Plot #15 ,5/29/1990,0,H-(DELS)
Plot #15 ,5/30/1990,1,H-(DELS)
Plot #15 ,5/31/1990,0,H-(DELS)
Plot #15 ,6/1/1990,0,H-(DELS)
Plot #15 ,6/2/1990,0,H-(DELS)
Plot #15 ,6/3/1990,1,H-(DELS)
Plot #15 ,6/4/1990,0,H-(DELS)
Plot #15 ,6/5/1990,2,H-(DELS)
Plot #15 ,6/6/1990,0,H-(DELS)
Plot #15 ,6/7/1990,4,H-(DELS)
Plot #15 ,6/8/1990,0,H-(DELS)
Plot #15 ,6/9/1990,0,H-(DELS)
Plot #15 ,6/10/1990,0,H-(DELS)
Plot #15 ,6/11/1990,0,H-(DELS)
Plot #15 ,6/12/1990,0,H-(DELS)
Plot #15 ,6/13/1990,0,H-(DELS)
Plot #15 ,6/14/1990,1,H-(DELS)
Plot #15 ,6/15/1990,0,H-(DELS)
Plot #15 ,6/16/1990,0,H-(DELS)
Plot #15 ,6/17/1990,0,H-(DELS)
Plot #15 ,6/18/1990,0,H-(DELS)
Plot #15 ,6/19/1990,1,H-(DELS)
Plot #15 ,6/20/1990,0,H-(DELS)
Plot #15 ,6/21/1990,0,H-(DELS)
Plot #15 ,6/22/1990,0,H-(DELS)
Plot #15 ,6/23/1990,1,H-(DELS)
Plot #15 ,6/24/1990,2,H-(DELS)
Plot #15 ,6/25/1990,0,H-(DELS)
Plot #15 ,6/26/1990,1,H-(DELS)
Plot #15 ,6/27/1990,0,H-(DELS)
Plot #15 ,6/28/1990,1,H-(DELS)
Plot #15 ,6/29/1990,4,H-(DELS)
Plot #15 ,6/30/1990,6,H-(DELS)
Plot #15 ,7/1/1990,1,H-(DELS)
Plot #15 ,7/2/1990,0,H-(DELS)
Plot #15 ,7/3/1990,1,H-(DELS)
Plot #15 ,7/4/1990,1,H-(DELS)
Plot #15 ,7/5/1990,0,H-(DELS)
Plot #15 ,7/6/1990,1,H-(DELS)
Plot #15 ,7/7/1990,1,H-(DELS)
